,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Georgetown,MY,84.13,scattered clouds,5.4112,100.3354,Cititel Penang
2,Isangel,VU,78.91,scattered clouds,-19.55,169.2667,Tanna Lodge
5,Luanda,AO,77.0,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
7,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
15,Butaritari,KI,81.82,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
20,Hithadhoo,MV,82.56,scattered clouds,-0.6,73.0833,Scoop Guest House
21,Sinnamary,GF,78.12,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
29,Atuona,PF,76.96,few clouds,-9.8,-139.0333,Villa Enata
35,Progreso,MX,78.91,broken clouds,21.2833,-89.6667,Playa Linda Hotel
39,Sao Filipe,CV,76.41,scattered clouds,14.8961,-24.4956,Hotel Xaguate
41,Ambovombe,MG,79.9,clear sky,-25.1667,46.0833,RELAHARA
56,Sawakin,SD,84.47,scattered clouds,19.1059,37.3321,فندق الدويم
57,Gizo,SB,83.59,broken clouds,-8.103,156.8419,Imagination Island
58,Honiara,SB,81.09,overcast clouds,-9.4333,159.95,Heritage Park Hotel
66,Nileshwar,IN,82.72,overcast clouds,12.25,75.1,Neeleshwar Hermitage
71,Borazjan,IR,87.8,clear sky,29.2666,51.2159,شرکت زرمهریار شعبه سوم
78,Saint-Philippe,RE,78.39,clear sky,-21.3585,55.7679,Le four à pain
82,Hilo,US,80.28,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
84,Jawhar,SO,84.85,few clouds,2.7809,45.5005,Hotel Shabelle
87,Tura,IN,82.87,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
93,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
95,Katobu,ID,86.36,broken clouds,-4.9408,122.5276,La Ode Husein
97,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
104,Innisfail,AU,81.48,scattered clouds,-17.5333,146.0333,Moondarra Motel
111,Buala,SB,83.53,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
114,Thinadhoo,MV,81.91,broken clouds,0.5333,72.9333,
116,Mahibadhoo,MV,80.01,overcast clouds,3.7833,72.9667,Omadhoo Inn
119,Marigot,MF,81.05,few clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
123,Grand Gaube,MU,77.4,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
124,Arlit,NE,78.53,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
126,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
135,Berbera,SO,85.95,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
138,Bambanglipuro,ID,81.97,broken clouds,-7.95,110.2833,Puri Brata
141,Pathein,MM,87.76,broken clouds,16.7833,94.7333,Pathein Hotel
144,Afua,BR,77.09,overcast clouds,-0.1567,-50.3867,Hotel Dias
146,Port Keats,AU,87.31,broken clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
147,La Asuncion,VE,89.33,clear sky,11.0333,-63.8628,Colinas de Matasiete
152,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
153,Luorong,CN,85.84,few clouds,24.4058,109.6086,荣立大酒店
154,Inhambane,MZ,78.78,broken clouds,-23.865,35.3833,Oceano
155,Ouahigouya,BF,80.56,overcast clouds,13.5828,-2.4216,Hotel Liberte
164,Shurugwi,ZW,75.65,clear sky,-19.6702,30.0059,Leilano Lodge
166,Cabo San Lucas,MX,76.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
178,Port Hedland,AU,87.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
181,Tombouctou,ML,82.29,broken clouds,20.0,-3.0,
182,Puerto Carreno,CO,76.32,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
188,Ixtapa,MX,75.67,broken clouds,20.7,-105.2,hotel la terminal
198,Togitsu,JP,78.78,few clouds,32.8333,129.85,Yasuda Ocean Hotel Togitsu
204,Dalbandin,PK,82.15,clear sky,28.8947,64.4101,Sanjrani House
208,Salalah,OM,82.49,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
210,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
212,Atambua,ID,85.66,overcast clouds,-9.1061,124.8925,Ros Muskanan
220,Mandera,KE,81.34,clear sky,3.9366,41.867,Red Sea Resort & Suites Mandera County
223,Kapit,MY,87.44,scattered clouds,2.0167,112.9333,Hotel Meligai Kapit
224,Sungai Besar,MY,84.29,overcast clouds,3.6746,100.9867,NIDA Rooms Sabak Bernam Comfort
228,Adrar,MR,83.21,overcast clouds,20.5022,-10.0711,
231,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
233,Aitape,PG,83.73,overcast clouds,-3.1374,142.3475,
241,Bandar-E Lengeh,IR,87.91,haze,26.5579,54.8807,کافی نت پارس
249,Boa Vista,BR,78.78,light rain,2.8197,-60.6733,Aipana Plaza Hotel
250,Sur,OM,89.96,broken clouds,22.5667,59.5289,Sur Plaza Hotel
251,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
253,Kahului,US,82.42,light rain,20.8947,-156.47,Maui Seaside Hotel
254,Bengkulu,ID,82.15,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
255,Madimba,TZ,80.35,clear sky,-10.4,40.3333,
258,Kalmunai,LK,85.17,overcast clouds,7.4167,81.8167,VS Villa
267,Taunggyi,MM,75.54,few clouds,20.7833,97.0333,True Treasure Hotel
269,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
270,Tautira,PF,77.77,few clouds,-17.7333,-149.15,Pension Oaoa
272,Tahta,EG,76.87,clear sky,26.7693,31.5021,فندق الزيات
274,Acapulco,MX,80.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
278,Aneho,TG,77.2,overcast clouds,6.2333,1.6,Hotel La Linette
285,Warangal,IN,82.44,overcast clouds,18.0,79.5833,Capital O 66968 Haveli The Landmark
289,Meulaboh,ID,81.9,overcast clouds,4.1363,96.1285,Kost Pria
290,Basco,PH,78.71,heavy intensity rain,20.4487,121.9702,Nathaniel's Lodge
294,Acajutla,SV,77.94,light rain,13.5928,-89.8275,CASA DE LA PERRA
295,Mogok,MM,77.43,overcast clouds,22.9167,96.5,MOGOK HILL HOTEL
296,Nguruka,TZ,81.43,overcast clouds,-5.1092,31.0419,RUSULI LODGE
304,Kavaratti,IN,81.48,overcast clouds,10.5669,72.642,Green leaf
305,Marsh Harbour,BS,81.1,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
311,Kakonko,TZ,80.76,overcast clouds,-3.2828,30.9642,Edward Memorial Guest House
315,Nara,JP,81.77,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
318,Surt,LY,76.03,clear sky,31.2089,16.5887,فندق المدينة
324,Xinyu,CN,82.63,clear sky,27.8043,114.9334,Xinyu Beihu Hotel
325,Serowe,BW,82.33,clear sky,-22.3833,26.7167,Hill View Inn
328,Wanning,CN,81.14,overcast clouds,18.8003,110.3967,Paradise Hotel
329,Bilma,NE,80.17,clear sky,18.6853,12.9164,Expeditions Ténére voyages
333,Goure,NE,82.81,few clouds,13.9835,10.2704,
338,Sakakah,SA,76.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
342,Atar,MR,82.8,broken clouds,20.5169,-13.0499,Oumou Elghoura
345,Ugoofaaru,MV,81.79,broken clouds,5.6667,73.0,Ungoofaaru Inn
348,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
350,Beloha,MG,87.44,clear sky,-25.1667,45.05,
352,Faanui,PF,79.16,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
355,Garowe,SO,85.19,clear sky,8.4054,48.4845,Curubo Hotel
358,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
361,Lazaro Cardenas,MX,77.56,light rain,17.9583,-102.2,HOTEL QUINTA ANTIGUA
362,Jinka,ET,76.1,light rain,5.65,36.65,
368,Kirakira,SB,81.03,overcast clouds,-10.4544,161.9205,SanBiz Lodge
371,Grand-Lahou,CI,75.63,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
374,Gigmoto,PH,87.62,scattered clouds,13.7796,124.39,Cj's Travellers Inn
378,Along,IN,87.73,clear sky,28.1667,94.7667,Hotel West
