,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Rafai,CF,4.95,23.9167,72.75,92,100,0.54,overcast clouds
1,Georgetown,MY,5.4112,100.3354,84.13,86,40,5.75,scattered clouds
2,Isangel,VU,-19.55,169.2667,78.91,69,40,9.22,scattered clouds
3,Lebu,CL,-37.6167,-73.65,49.17,93,8,15.84,clear sky
4,Mataura,NZ,-46.1927,168.8643,56.48,59,5,1.1,clear sky
5,Luanda,AO,-8.8368,13.2343,77.0,83,100,8.05,overcast clouds
6,Rongcheng,CN,30.634,117.8517,74.64,42,0,7.0,clear sky
7,Vaini,TO,-21.2,-175.2,77.16,83,20,4.61,few clouds
8,Thompson,CA,55.7435,-97.8558,35.76,100,100,8.05,light rain
9,Busselton,AU,-33.65,115.3333,63.34,54,24,11.05,few clouds
10,Siguiri,GN,11.6667,-9.5,72.97,90,99,0.25,moderate rain
11,Zig,US,40.127,-92.7663,38.37,75,22,1.99,few clouds
12,Bethel,US,41.3712,-73.414,50.94,86,0,0.0,clear sky
13,Susangerd,IR,31.5608,48.1831,91.9,16,0,5.06,clear sky
14,Hofn,IS,64.2539,-15.2082,39.11,58,79,20.83,broken clouds
15,Butaritari,KI,3.0707,172.7902,81.82,74,89,15.19,overcast clouds
16,Punta Arenas,CL,-53.15,-70.9167,44.71,81,40,24.16,light rain
17,Emborion,GR,40.4833,21.55,50.31,87,91,2.19,overcast clouds
18,Ushuaia,AR,-54.8,-68.3,44.26,81,100,31.07,light rain
19,Rikitea,PF,-23.1203,-134.9692,72.54,82,1,8.95,light rain
20,Hithadhoo,MV,-0.6,73.0833,82.56,69,39,14.85,scattered clouds
21,Sinnamary,GF,5.3833,-52.95,78.12,89,36,8.3,scattered clouds
22,Tuktoyaktuk,CA,69.4541,-133.0374,28.27,77,100,20.78,light snow
23,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.85,87,72,10.42,broken clouds
24,Yellowknife,CA,62.456,-114.3525,30.72,59,75,9.22,broken clouds
